Train_No,Distance,Route_Type,Start_Time,End_Time,Journey_Duration_Hours
11038,1777,Long,1900-01-01 15:30:00,1900-01-01 04:05:00,12.583333333333334
11039,1352,Long,1900-01-01 15:30:00,1900-01-01 20:15:00,4.75
11040,1353,Long,1900-01-01 08:20:00,1900-01-01 12:45:00,4.416666666666667
11041,1281,Long,1900-01-01 14:00:00,1900-01-01 16:30:00,2.5
11042,1283,Long,1900-01-01 12:20:00,1900-01-01 13:35:00,1.25
11043,1696,Long,1900-01-01 00:15:00,1900-01-01 10:10:00,9.916666666666666
11044,1700,Long,1900-01-01 18:00:00,1900-01-01 05:45:00,11.75
11045,2894,Long,1900-01-01 23:45:00,1900-01-01 12:00:00,12.25
11046,2892,Long,1900-01-01 13:50:00,1900-01-01 03:35:00,13.75
11047,278,Medium,1900-01-01 00:10:00,1900-01-01 06:25:00,6.25
11048,279,Medium,1900-01-01 23:30:00,1900-01-01 05:15:00,5.75
11049,949,Long,1900-01-01 19:25:00,1900-01-01 15:25:00,20.0
11050,949,Long,1900-01-01 12:50:00,1900-01-01 07:45:00,18.916666666666668
11051,314,Medium,1900-01-01 23:35:00,1900-01-01 06:20:00,6.75
11052,314,Medium,1900-01-01 23:55:00,1900-01-01 07:30:00,7.583333333333333
11053,1552,Long,1900-01-01 16:40:00,1900-01-01 02:10:00,9.5
11054,1551,Long,1900-01-01 05:20:00,1900-01-01 12:15:00,6.916666666666667
11055,1732,Long,1900-01-01 10:55:00,1900-01-01 20:20:00,9.416666666666666
11056,1732,Long,1900-01-01 06:20:00,1900-01-01 16:15:00,9.916666666666666
11057,2026,Long,1900-01-01 23:30:00,1900-01-01 16:30:00,17.0
11058,2029,Long,1900-01-01 08:30:00,1900-01-01 04:05:00,19.583333333333332
